83	51
79	83
73	91
68	44
67	88
65	92
64	47
63	60
62	233
61	734
60	375
59	988
58	1396
57	1731
56	2162
55	6753
54	8236
53	8418
52	17363
51	18140
50	35439
49	55450
48	80287
47	114710
46	171016
45	259583
44	342105
43	533046
42	753177
41	1102899
40	1525514
39	2313687
38	3127627
37	4649747
36	6146149
35	8922389
34	11635886
33	15311428
32	21052427
31	26894155
30	34263002
29	43577723
28	53285299
27	64822041
26	73556536
25	83732548
24	90851070
23	92561326
22	90993712
21	82676663
20	69766167
19	55970323
18	33170673
17	16739704
16	6591709
15	2320575
14	545595
13	74798
12	11766
11	1241
10	343
9	1518
