159	182
128	92
119	148
106	90
103	91
91	155
90	84
89	92
86	91
84	421
83	51
82	95
79	83
76	157
75	87
73	182
72	334
71	292
70	375
69	230
68	211
67	365
66	460
65	1263
64	1449
63	2094
62	2544
61	4984
60	4388
59	8653
58	14919
57	22210
56	23339
55	58593
54	64675
53	94986
52	162867
51	230726
50	373875
49	551091
48	802590
47	1175703
46	1603291
45	2600568
44	3568517
43	5169492
42	7704330
41	10971218
40	15560400
39	22259683
38	31113761
37	44027088
36	60137979
35	84419521
34	115556130
33	155555837
32	205588578
31	269584490
30	345711670
29	433764087
28	530179866
27	636987536
26	739311284
25	826976077
24	894422079
23	921800718
22	903382557
21	825593117
20	692585590
19	519029171
18	327102659
17	171644826
16	70338372
15	23247701
14	5950911
13	888866
12	114018
11	31532
10	5740
9	14140
