*	*	2534057	1.0
dai22177	dai85309	107	4.22247802634e-05
dai22177	ele91337	122	4.81441419826e-05
dai22177	dai62779	209	8.24764399538e-05
dai22177	ele17451	122	4.81441419826e-05
dai22177	fro85978	107	4.22247802634e-05
dai22896	dai62779	165	6.51129789109e-05
dai22896	ele17451	112	4.41979008365e-05
dai22896	dai75645	145	5.72204966187e-05
dai22896	sna72163	208	8.20818158392e-05
dai22896	gro38814	196	7.73463264638e-05
dai22896	sna80324	139	5.4852751931e-05
dai31081	dai62779	126	4.9722638441e-05
dai31081	ele17451	109	4.30140284927e-05
dai31081	dai75645	115	4.53817731803e-05
dai35347	fro31317	279	0.000110100127977
dai35347	ele66810	292	0.000115230241467
dai42493	dai62779	215	8.48441846415e-05
dai42493	ele17451	157	6.1955985994e-05
dai42493	dai75645	115	4.53817731803e-05
dai42493	ele32164	136	5.36688795872e-05
dai42493	gro59710	199	7.85301988077e-05
dai42493	fro40251	116	4.57763972949e-05
dai42493	ele92920	105	4.14355320342e-05
dai43223	dai62779	136	5.36688795872e-05
dai43223	ele17451	220	8.68173052145e-05
dai43223	ele32164	205	8.08979434954e-05
dai43223	gro59710	213	8.40549364122e-05
dai43868	sna82528	282	0.00011128400032
dai46755	fro81176	147	5.80097448479e-05
dai48891	gro36567	114	4.49871490657e-05
dai48891	sna45677	156	6.15613618794e-05
dai50913	gro33815	123	4.85387660972e-05
dai55148	dai85309	112	4.41979008365e-05
dai55148	dai62779	425	0.00016771524871
dai55148	ele17451	265	0.000104575390372
dai55148	dai75645	171	6.74807235986e-05
dai55148	sna80324	222	8.76065534437e-05
dai55148	fro40251	201	7.93194470369e-05
dai55911	dai75645	116	4.57763972949e-05
dai62779	ele68605	100	3.94624114611e-05
dai62779	sna55762	240	9.47097875068e-05
dai22896	dai62779	132	5.20903831287e-05
dai48891	dai62779	131	5.16957590141e-05
dai62779	fro80039	305	0.000120360354956
dai62779	dai85309	579	0.00022848736236
dai62779	dai83733	257	0.000101418397455
dai62779	gro15017	195	7.69517023492e-05
dai62779	ele17451	1370	0.000540635037018
dai62779	dai75645	618	0.00024387770283
dai62779	ele37048	109	4.30140284927e-05
dai62779	gro36567	124	4.89333902118e-05
dai62779	gro85051	145	5.72204966187e-05
dai62779	gro88324	133	5.24850072433e-05
dai62779	fro75586	122	4.81441419826e-05
dai62779	gro73461	389	0.000153508780584
dai62779	sna72163	183	7.22162129739e-05
dai62779	gro83463	105	4.14355320342e-05
dai62779	ele49801	102	4.02516596904e-05
